



"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";
"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";




"Durchlauf";"LuceneVersion";"ElasticVersion";"Indexname";"ReplicaAnzahl";"Gesamtanzahl Shards des Index";"Gesamtanzahl Shards";"Erfolgreiche Shards";"Fehlgeschlagene Shards";"Uebersprungene Shards";"Anzahl der ReducePhasen";"Queryname";"BuildRequest (ms)";"Zeit nach der Response (ms)";"Zeit nach der Ergebnisausgabe (ms)";"Zeit allein für die Ausfuehrung (ms)";"Zeit durch ES gemessen (ms)";
0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 03";269;1779;1793;1510;697;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 03";0;1106;1106;1106;667;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 03";0;504;504;504;164;
3;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 03";0;450;450;450;154;
4;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 03";1;536;536;535;147;
5;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 03";1;510;510;509;198;

"Query 03";620.8


0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 06";0;472;472;472;0;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 06";0;309;309;309;0;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 06";0;262;262;262;0;
3;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 06";0;336;336;336;0;
4;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 06";0;256;256;256;0;
5;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 06";0;250;250;250;0;

"Query 06";282.6


0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 07";3;979;979;976;662;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 07";1;1128;1128;1127;800;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 07";0;534;534;534;223;
3;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 07";0;463;463;463;214;
4;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 07";1;477;477;476;221;
5;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 07";0;449;449;449;206;

"Query 07";609.8


0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 13";11;531;531;520;410;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 13";0;494;494;494;352;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 13";1;498;498;497;237;
3;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 13";1;412;412;411;244;
4;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 13";0;607;607;607;230;
5;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 13";0;309;310;309;221;

"Query 13";463.6


0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 19";1;769;769;768;273;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 19";0;509;509;509;271;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 19";0;329;329;329;98;
3;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 19";0;304;304;304;79;
4;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 19";0;317;317;317;85;
5;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 19";1;323;323;322;81;

"Query 19";356.2


0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 27";1;642;642;641;251;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 27";0;555;555;555;256;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 27";0;449;449;449;207;
3;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 27";0;462;462;462;213;
4;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 27";1;461;461;460;209;
5;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 27";1;461;461;460;202;

"Query 27";477.2


0;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 42";1;719;719;718;186;
1;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 42";1;337;337;336;103;
2;"'7.1.0";"'6.1.1";"tpcdsstore50g";1;15;15;15;0;0;1;"Query 42";1;327;327;326;85;
